cod_item,cod_item_pai,nome,situacao,maior_cod_item_pai
2140,1658,INTERVALO INTRAJORNADA,I,864
2141,1658,ADICIONAL DE HORA EXTRA,I,864
2210,2546,MULTA DO ARTIGO 467 DA CLT,I,864
2212,2546,MULTA DO ARTIGO 477 DA CLT,I,864
2215,2581,MULTA PREVISTA EM NORMA COLETIVA,I,864
2233,1654,CONTRATACAO DE REABILITADOS E DEFICIENTES HABILITADOS,I,864
2243,2620,PLANO DE DEMISSAO VOLUNTARIA,I,864
2266,5272,CONTRATACAO EM PERIODO ELEITORAL,I,864
2273,2581,PIS - INDENIZACAO,I,864
2275,2458,PISO SALARIAL DA CATEGORIA / SALARIO MINIMO PROFISSIONAL,I,864
2331,2581,PREMIO,I,864
2349,2581,CONTRIBUICAO DE PREVIDENCIA PRIVADA - RESGATE,I,864
2364,2581,PLANO DE SAUDE,I,864
2409,1654,ENQUADRAMENTO / CLASSIFICACAO,I,864
2421,1654,REINTEGRACAO DE POSSE - DESPEJO,I,864
2426,1658,REPOUSO SEMANAL REMUNERADO E FERIADO,I,864
2435,2620,RESCISAO INDIRETA,I,864
2445,1806,ALTERACAO / REVOGACAO DE REGULAMENTO DA EMPRESA,I,864
2449,2458,REAJUSTE SALARIAL,I,864
2450,2581,GORJETA,I,864
2452,2458,SALARIO VENCIDO / RETIDO,I,864
2458,2581,SALARIO / DIFERENCA SALARIAL,I,864
2461,2458,SALARIO FAMILIA,I,864
2463,2458,SALARIO PATERNIDADE,I,864
2466,2458,SALARIO POR FORA - INTEGRACAO,I,864
2468,2458,SALARIO POR SAFRA,I,864
2477,2581,SEGURO DE VIDA,I,864
2478,2620,SEGURO DESEMPREGO,I,864
2479,2478,INDENIZACAO,I,864
2480,2478,LIBERACAO DAS GUIAS,I,864
2493,2581,TAREFA,I,864
2506,2581,AUXILIO / TIQUETE ALIMENTACAO,I,864
2523,1806,TRANSFERENCIA,I,864
2537,1654,UNICIDADE CONTRATUAL,I,864
2540,2581,VALE TRANSPORTE,I,864
2546,2620,VERBAS RESCISORIAS,I,864
2554,1654,RECONHECIMENTO DE RELACAO DE EMPREGO,I,864
2557,7628,APRENDIZAGEM,I,864
2558,7628,COOPERADO,I,864
2559,7628,ESTAGIO,I,864
2567,864,RESPONSABILIDADE CIVIL DO EMPREGADOR,I,864
2569,1855,ACIDENTE DE TRABALHO,I,864
2581,864,"VERBAS REMUNERATORIAS, INDENIZATORIAS E BENEFICIOS",I,864
2583,2581,ABONO,I,864
2594,2581,ADICIONAL,I,864
2604,2594,ADICIONAL DE TRANSFERENCIA,I,864
2606,2581,AJUDA DE CUSTO,I,864
2620,864,RESCISAO DO CONTRATO DE TRABALHO,I,864
2622,864,APOSENTADORIA E PENSAO,I,864
2624,2622,COMPLEMENTACAO DE APOSENTADORIA / PENSAO,I,864
2641,2546,AVISO PREVIO,I,864
2656,2620,REINTEGRACAO / READMISSAO OU INDENIZACAO SUBSTITUTIVA,I,864
2657,2656,ANISTIA,I,864
2661,2656,ESTABILIDADE ACIDENTARIA,I,864
2662,864,FERIAS,I,864
2663,2662,ABONO PECUNIARIO,I,864
2666,2581,DECIMO TERCEIRO SALARIO,I,864
2670,1654,ADVERTENCIA / SUSPENSAO,I,864
2697,2458,SALARIO POR EQUIPARACAO / ISONOMIA,I,864
2704,1937,TERCEIRIZACAO / TOMADOR DE SERVICOS,I,864
3369,287,CRIMES CONTRA A VIDA,A,287
3370,3369,HOMICIDIO SIMPLES,A,287
3371,3369,HOMICIDIO PRIVILEGIADO,A,287
3372,3369,HOMICIDIO QUALIFICADO,A,287
3373,3369,"INDUZIMENTO, INSTIGACAO OU AUXILIO A SUICIDIO",A,287
3375,3369,INFANTICIDIO,A,287
3385,287,LESAO CORPORAL,A,287
3386,3385,LEVE,A,287
3387,3385,SEGUIDA DE MORTE,A,287
3388,287,PERICLITACAO DA VIDA E DA SAUDE,A,287
3389,3388,PERIGO DE CONTAGIO DE MOLESTIA GRAVE,A,287
3390,3388,PERIGO PARA A VIDA OU SAUDE DE OUTREM,A,287
3391,3388,ABANDONO DE INCAPAZ,A,287
3392,3388,OMISSAO DE SOCORRO,A,287
3393,287,RIXA,A,287
3394,287,CRIMES CONTRA A HONRA,A,287
3395,3394,CALUNIA,A,287
3396,3394,DIFAMACAO,A,287
3397,3394,INJURIA,A,287
3400,287,CRIMES CONTRA A LIBERDADE PESSOAL,A,287
3401,3400,CONSTRANGIMENTO ILEGAL,A,287
3402,3400,AMEACA,A,287
3403,3400,SEQUESTRO E CARCERE PRIVADO,A,287
3404,3400,REDUCAO A CONDICAO ANALOGA A DE ESCRAVO,A,287
3405,287,CRIMES CONTRA A INVIOLABILIDADE DE DOMICILIO,A,287
3406,3405,VIOLACAO DE DOMICILIO,A,287
3407,287,CRIMES CONTRA A INVIOLABILIDADE DE CORRESPONDENCIA,A,287
3408,3407,VIOLACAO DE CORRESPONDENCIA,A,287
3409,3407,SONEGACAO OU DESTRUICAO DE CORRESPONDENCIA,A,287
3410,3407,"VIOLACAO DE COMUNICACAO TELEGRAFICA, RADIOELETRICA OU TELEFONICA",A,287
3411,3407,VIOLACAO DE CORRESPONDENCIA COMERCIAL,A,287
3412,287,CRIMES CONTRA A INVIOLABILIDADE DE SEGREDO,A,287
3413,3412,DIVULGACAO DE SEGREDO,A,287
3414,3412,VIOLACAO DO SEGREDO PROFISSIONAL,A,287
3415,287,CRIMES CONTRA O PATRIMONIO,A,287
3416,3415,FURTO,A,287
3417,3415,FURTO QUALIFICADO,A,287
3418,3415,FURTO DE COISA COMUM,A,287
3419,3415,ROUBO,A,287
3420,3415,EXTORSAO,A,287
3421,3415,EXTORSAO MEDIANTE SEQUESTRO,A,287
3422,3415,EXTORSAO INDIRETA,A,287
3423,3415,ALTERACAO DE LIMITES,A,287
3424,3415,USURPACAO DE AGUAS,A,287
3425,3415,ESBULHO POSSESSORIO,A,287
3426,3415,DANO,A,287
3427,3415,INTRODUCAO OU ABANDONO DE ANIMAIS EM PROPRIEDADE ALHEIA,A,287
3428,3415,"DANO EM COISA DE VALOR ARTISTICO, ARQUEOLOGICO OU HISTORICO",A,287
3429,3415,ALTERACAO DE LOCAL ESPECIALMENTE PROTEGIDO,A,287
3430,3415,APROPRIACAO INDEBITA PREVIDENCIARIA,A,287
3431,3415,ESTELIONATO,A,287
3432,3415,ESTELIONATO MAJORADO,A,287
3433,3415,OUTRAS FRAUDES,A,287
3434,3415,FRAUDE A EXECUCAO,A,287
3435,3415,RECEPTACAO,A,287
3436,3415,APROPRIACAO INDEBITA,A,287
3437,3415,"APROPRIACAO DE COISA HAVIDA POR ERRO, CASO FORTUITO OU FORCA DA NATUREZA",A,287
3438,3603,CRIMES CONTRA A PROPRIEDADE INDUSTRIAL,A,287
3442,287,CRIMES CONTRA A PROPRIEDADE INTELECTUAL,A,287
3443,3442,VIOLACAO DE DIREITO AUTORAL,A,287
3445,287,CRIMES CONTRA A ORGANIZACAO DO TRABALHO,A,287
3446,3445,ATENTADO CONTRA A LIBERDADE DE TRABALHO,A,287
3447,3445,ATENTADO CONTRA A LIBERDADE DE CONTRATO DE TRABALHO E BOICOTAGEM VIOLENTA,A,287
3448,3445,ATENTADO CONTRA A LIBERDADE DE ASSOCIACAO,A,287
3449,3445,"PARALISACAO DE TRABALHO, SEGUIDA DE VIOLENCIA OU PERTURBACAO DA ORDEM",A,287
3450,3445,PARALISACAO DE TRABALHO DE INTERESSE COLETIVO,A,287
3451,3445,"INVASAO DE ESTABELECIMENTO INDUSTRIAL, COMERCIAL OU AGRICOLA. SABOTAGEM",A,287
3452,3445,FRUSTRACAO DE DIREITOS ASSEGURADOS POR LEI TRABALHISTA,A,287
3453,3445,EXERCICIO DE ATIVIDADE COM INFRACAO DE DECISAO ADMINISTRATIVA,A,287
3454,3445,ALICIAMENTO PARA FINS DE EMIGRACAO,A,287
3455,3445,ALICIAMENTO DE TRABALHADORES DE UM LOCAL PARA OUTRO DO TERRITORIO NACIONAL,A,287
3456,3445,FRUSTRACAO DE LEI SOBRE A NACIONALIZACAO DO TRABALHO,A,287
3457,287,CRIMES CONTRA O SENTIMENTO RELIGIOSO E CONTRA O RESPEITO AOS MORTOS,A,287
3458,3457,DESTRUICAO / SUBRACAO / OCULTACAO DE CADAVER,A,287
3459,3457,IMPEDIMENTO OU PERTURBACAO DE CERIMONIA FUNERARIA,A,287
3460,3457,VILIPENDIO A CADAVER,A,287
3461,3457,VIOLACAO A SEPULTURA,A,287
3462,3457,ULTRAJE / IMPEDIMENTO OU PERTURBACAO DE CULTO RELIGIOSO,A,287
3463,287,CRIMES CONTRA A DIGNIDADE SEXUAL,A,287
3465,3463,ESTUPRO,A,287
3466,3463,ATENTADO VIOLENTO AO PUDOR,A,287
3467,3463,ATENTADO AO PUDOR MEDIANTE FRAUDE,A,287
3468,3463,CORRUPCAO DE MENORES,A,287
3469,3463,ULTRAJE PUBLICO AO PUDOR (ATO/ESCRITO OBSCENO),I,287
3471,3463,MEDIACAO PARA SERVIR A LASCIVIA DE OUTREM,A,287
3472,287,CRIMES CONTRA A FAMILIA,A,287
3473,3472,CRIMES CONTRA A ASSISTENCIA FAMILIAR,A,287
3474,3473,ABANDONO MATERIAL,A,287
3475,3473,ABANDONO INTELECTUAL,A,287
3476,3473,ENTREGA DE FILHO MENOR A PESSOA INIDONEA,A,287
3477,3472,CRIMES CONTRA O CASAMENTO,A,287
3479,3477,BIGAMIA,A,287
3480,3477,CONHECIMENTO PREVIO DE IMPEDIMENTO,A,287
3481,3477,INDUZIMENTO A ERRO ESSENCIAL E OCULTACAO DE IMPEDIMENTO,A,287
3482,3477,SIMULACAO DE CASAMENTO,A,287
3483,3477,SIMULACAO DE AUTORIDADE PARA CELEBRACAO DE CASAMENTO,A,287
3484,3472,CRIMES CONTRA O ESTADO DE FILIACAO,A,287
3485,3484,PARTO SUPOSTO,A,287
3486,3484,REGISTRO DE NASCIMENTO INEXISTENTE,A,287
3487,3484,SONEGACAO DO ESTADO DE FILIACAO,A,287
3488,3472,CRIME CONTRA O PATRIO-PODER E TUTELA,A,287
3489,3488,"INDUZIMENTO A FUGA, ENTREGA ARBITRARIA OU SONEGACAO DE INCAPAZES",A,287
3490,3488,SUBTRACAO DE INCAPAZES,A,287
3491,287,CRIMES CONTRA A INCOLUMIDADE PUBLICA,A,287
3492,3491,INCENDIO,A,287
3493,3491,EXPLOSAO,A,287
3494,3491,USO DE GAS TOXICO OU ASFIXIANTE,A,287
3495,3491,INUNDACAO / PERIGO DE INUNDACAO,A,287
3496,3491,DESABAMENTO OU DESMORONAMENTO,A,287
3497,3491,"SUBTRACAO, OCULTACAO OU INUTILIZACAO DE MATERIAL DE SALVAMENTO",A,287
3498,3491,DIFUSAO DE DOENCA OU PRAGA,A,287
3500,3491,DESASTRE FERROVIARIO / PERIGO DE DESASTRE FERROVIARIO,A,287
3501,3491,ATENTADO CONTRA A SEGURANCA DE TRANSPORTE PUBLICO,A,287
3502,3491,ARREMESSO DE PROJETIL,A,287
3503,3491,ATENTADO CONTRA A SEGURANCA DE SERVICOS DE UTILIDADE PUBLICA,A,287
3504,3491,INTERRUPCAO /PERTURBACAO DE SERVICOS TELEGRAFICOS/TELEFONICOS,A,287
3505,3491,EPIDEMIA,A,287
3506,3491,EMPREGO DE PROCESSO PROIBIDO/SUBSTANCIA NAO PERMITIDA,A,287
3507,3491,INVOLUCRO OU RECIPIENTE COM FALSA INDICACAO,A,287
3508,3491,FALSIFICACAO / CORRUPCAO / ADULTERACAO / ALTERACAO DE PRODUTO DESTINADO A FINS TERAPEUTICOS OU MEDICINAIS,A,287
3509,3491,"EXERCICIO ILEGAL DA MEDICINA, ARTE DENTARIA OU FARMACEUTICA",A,287
3510,3491,CHARLATANISMO,A,287
3511,3491,CORRUPCAO OU POLUICAO DE AGUA POTAVEL,A,287
3512,3491,CURANDEIRISMO,A,287
3513,3491,ENVENENAMENTO DE AGUA POTAVEL / SUBSTANCIA ALIMENTICIA OU MEDICINAL,A,287
3514,3491,FALSIFICACAO / CORRUPCAO / ADULTERACAO / ALTERACAO DE SUBSTANCIA OU PRODUTOS ALIMENTICIOS,A,287
3515,3491,INFRACAO DE MEDIDA SANITARIA PREVENTIVA,A,287
3516,3491,OMISSAO DE NOTIFICACAO DE DOENCA,A,287
3517,3491,OUTRAS SUBSTANCIAS NOCIVAS A SAUDE PUBLICA,A,287
3519,3491,SUBSTANCIA DESTINADA A FALSIFICACAO,A,287
3520,287,CRIMES CONTRA A PAZ PUBLICA,A,287
3521,3520,QUADRILHA OU BANDO,A,287
3523,287,CRIMES CONTRA A FE PUBLICA,A,287
3524,3523,MOEDA FALSA / ASSIMILADOS,A,287
3527,3523,PETRECHOS PARA FALSIFICACAO DE MOEDA,A,287
3528,3523,EMISSAO DE TITULO AO PORTADOR SEM PERMISSAO LEGAL,A,287
3529,3523,FALSIFICACAO DE PAPEIS PUBLICOS,A,287
3530,3523,FALSIFICACAO DO SELO OU SINAL PUBLICO,A,287
3531,3523,FALSIFICACAO DE DOCUMENTO PUBLICO,A,287
3532,3523,FALSIFICACAO DE DOCUMENTO PARTICULAR,A,287
3533,3523,FALSIDADE IDEOLOGICA,A,287
3534,3523,FALSO RECONHECIMENTO DE FIRMA OU LETRA,A,287
3535,3523,CERTIDAO OU ATESTADO IDEOLOGICAMENTE FALSO,A,287
3536,3523,FALSIDADE MATERIAL DE ATESTADO OU CERTIDAO,A,287
3537,3523,FALSIDADE DE ATESTADO MEDICO,A,287
3538,3523,REPRODUCAO OU ADULTERACAO DE SELO OU PECA FILATELICA,A,287
3539,3523,USO DE DOCUMENTO FALSO,A,287
3540,3523,SUPRESSAO DE DOCUMENTO,A,287
3541,3523,"FALSIFICACAO DO SINAL EMPREGADO NO CONTRASTE DE METAL PRECIOSO OU NA FISCALIZACAO ALFANDEGARIA, OU PARA OUTROS FINS",A,287
3542,3523,FALSA IDENTIDADE,A,287
3543,3523,FRAUDE DE LEI SOBRE ESTRANGEIROS,A,287
3545,3523,PETRECHOS DE FALSIFICACAO DE PAPEIS PUBLICOS,A,287
3546,3523,ADULTERACAO DE SINAL IDENTIFICADOR DE VEICULO AUTOMOTOR,A,287
3547,287,CRIMES PRATICADOS POR FUNCIONARIOS PUBLICOS CONTRA A ADMINISTRACAO EM GERAL,A,287
3548,3547,PECULATO,A,287
3550,3547,PECULATO MEDIANTE ERRO DE OUTREM,A,287
3551,3547,"EXTRAVIO, SONEGACAO OU INUTILIZACAO DE LIVRO OU DOCUMENTO",A,287
3552,3547,EMPREGO IRREGULAR DE VERBAS OU RENDAS PUBLICAS,A,287
3553,3547,CONCUSSAO,A,287
3554,3547,EXCESSO DE EXACAO,A,287
3555,3547,CORRUPCAO PASSIVA,A,287
3556,3547,FACILITACAO DE CONTRABANDO OU DESCAMINHO,A,287
3557,3547,PREVARICACAO,A,287
3558,3547,CONDESCENDENCIA CRIMINOSA,A,287
3559,3547,ADVOCACIA ADMINISTRATIVA,A,287
3560,3547,VIOLENCIA ARBITRARIA,A,287
3561,3547,ABANDONO DE FUNCAO,A,287
3562,3547,EXERCICIO FUNCIONAL ILEGALMENTE ANTECIPADO OU PROLONGADO,A,287
3563,3547,VIOLACAO DO SIGILO FUNCIONAL,A,287
3564,3547,VIOLACAO DO SIGILO DE PROPOSTA DE CONCORRENCIA,A,287
3565,5872,USURPACAO DE FUNCAO PUBLICA,A,287
3566,5872,RESISTENCIA,A,287
3567,5872,TRAFICO DE INFLUENCIA,A,287
3568,5872,CORRUPCAO ATIVA,A,287
3569,5872,"IMPEDIMENTO, PERTURBACAO OU FRAUDE DE CONCORRENCIA",A,287
3570,5872,INUTILIZACAO DE EDITAL OU DE SINAL,A,287
3571,5872,SUBTRACAO OU INUTILIZACAO DE LIVRO OU DOCUMENTO,A,287
3572,5872,DESOBEDIENCIA,A,287
3573,5872,DESACATO,A,287
3574,5872,CONTRABANDO OU DESCAMINHO,A,287
3575,5874,REINGRESSO DE ESTRANGEIRO EXPULSO,A,287
3576,5874,DENUNCIACAO CALUNIOSA,A,287
3577,5874,COMUNICACAO FALSA DE CRIME OU DE CONTRAVENCAO,A,287
3578,5874,AUTO-ACUSACAO FALSA,A,287
3579,5874,FALSO TESTEMUNHO OU FALSA PERICIA,A,287
3580,5874,COACAO NO CURSO DO PROCESSO,A,287
3581,5874,EXERCICIO ARBITRARIO DAS PROPRIAS RAZOES,A,287
3582,5874,FRAUDE PROCESSUAL,A,287
3583,5874,FAVORECIMENTO PESSOAL,A,287
3584,5874,FAVORECIMENTO REAL,A,287
3585,5874,EXERCICIO ARBITRARIO OU ABUSO DE PODER,A,287
3586,5874,FUGA DE PESSOA PRESA OU SUBMETIDA A MEDIDA DE SEGURANCA,A,287
3587,5874,EVASAO MEDIANTE VIOLENCIA CONTRA A PESSOA,A,287
3588,5874,ARREBATAMENTO DE PRESO,A,287
3589,5874,MOTIM DE PRESOS,A,287
3590,5874,PATROCINIO INFIEL,A,287
3591,5874,PATROCINIO SIMULTANEO OU TERGIVERSACAO,A,287
3592,5874,SONEGACAO DE PAPEL OU OBJETO DE VALOR PROBATORIO,A,287
3593,5874,EXPLORACAO DE PRESTIGIO,A,287
3594,5874,VIOLENCIA OU FRAUDE EM ARREMATACAO JUDICIAL,A,287
3595,5874,DESOBEDIENCIA A DECISAO JUDICIAL SOBRE PERDA OU SUSPENSAO DE DIREITOS,A,287
3596,3547,INSERCAO DE DADOS FALSOS EM SISTEMA DE INFORMACOES,A,287
3597,3547,MODIFICACAO OU ALTERACAO NAO AUTORIZADA DE SISTEMA DE INFORMACOES,A,287
3598,5872,SONEGACAO DE CONTRIBUICAO PREVIDENCIARIA,A,287
3603,287,CRIMES PREVISTOS NA LEGISLACAO EXTRAVAGANTE,A,287
3604,3603,CRIMES DE RESPONSABILIDADE,A,287
3605,3603,CRIMES CONTRA A ECONOMIA POPULAR,A,287
3606,3603,CRIMES DE ABUSO DE AUTORIDADE,A,287
3607,3603,CRIMES DE TRAFICO ILICITO E USO INDEVIDO DE DROGAS,A,287
3608,3607,TRAFICO DE DROGAS E CONDUTAS AFINS,A,287
3609,3603,RESPONSABILIDADE CRIMINAL POR DANOS NUCLEARES,A,287
3610,3603,CRIMES CONTRA O SERVICO POSTAL E O SERVICO DE TELEGRAMA,A,287
3611,3603,"CRIMES CONTRA A SEGURANCA NACIONAL, A ORDEM POLITICA E SOCIAL",I,287
3612,3603,CRIMES CONTRA O SISTEMA FINANCEIRO NACIONAL,A,287
3613,3603,CRIMES RESULTANTE DE PRECONCEITO DE RACA OU DE COR,I,287
3614,3603,CRIMES CONTRA A ORDEM TRIBUTARIA,A,287
3615,3603,CRIMES CONTRA A ORDEM ECONOMICA,A,287
3616,3603,CRIMES CONTRA AS RELACOES DE CONSUMO,A,287
3617,3603,REPRESENTACAO CALUNIOSA,A,287
3618,3603,CRIMES CONTRA O MEIO AMBIENTE E O PATRIMONIO GENETICO,A,287
3619,3618,CRIMES CONTRA A FAUNA,A,287
3620,3618,CRIMES CONTRA A FLORA,A,287
3621,3618,POLUICAO,A,287
3622,3618,AGROTOXICOS,A,287
3623,3618,ATIVIDADES NUCLEARES,A,287
3624,3618,CACA,I,287
3626,3618,LIBERACAO OU DESCARTE DE OGM (ORGANISMO GENETICAMENTE MODIFICADO) - BIOSSEGURANCA,A,287
3627,3618,PESCA,I,287
3628,3603,"CRIMES DE &QUOT;LAVAGEM&QUOT; OU OCULTACAO DE BENS, DIREITOS OU VALORES",A,287
3629,3603,CRIMES CONTRA AS TELECOMUNICACOES,A,287
3630,3603,CRIMES PREVISTOS NA LEI DE ESTRANGEIROS,A,287
3631,3603,CRIMES DE TORTURA,A,287
3632,3603,CRIMES DE TRANSITO,A,287
3633,3603,CRIMES DO SISTEMA NACIONAL DE ARMAS,A,287
3634,3603,CRIMES DE IMPRENSA,A,287
3637,3603,CRIMES PREVISTOS NO ESTATUTO DA CRIANCA E DO ADOLESCENTE,A,287
3638,3603,CRIMES CONTRA O MERCADO DE CAPITAIS,A,287
3640,3603,CRIMES DE GENOCIDIO,A,287
3641,3603,SIGILO TELEFONICO,A,287
3642,3603,CRIMES DA LEI DE LICITACOES,A,287
3643,3603,CRIMES DA LEI DE REMOCAO DE ORGAOS E TECIDOS,A,287
3647,3603,CRIMES PRATICADOS CONTRA OS INDIOS E A CULTURA INDIGENA,A,287
3650,3603,"RECUSA, RETARDAMENTO OU OMISSAO DE DADOS TECNICOS INDISPENSAVEIS A PROPOSITURA DE ACAO CIVIL PUBLICA",A,287
3651,3603,CRIMES AGRARIOS,A,287
3653,3603,CRIMES RELACIONADOS A COMISSAO PARLAMENTAR DE INQUERITO,A,287
3654,3603,CRIMES ELEITORAIS,A,287
3655,3603,CRIME DE QUEBRA DE SIGILO FINANCEIRO,A,287
3656,3603,CRIMES DO CODIGO BRASILEIRO DE TELECOMUNICACOES,A,287
3659,3603,CRIMES PREVISTOS NO ESTATUTO DO IDOSO,A,287
3660,3603,PARCELAMENTO DO SOLO URBANO,A,287
3661,3603,CRIMES FALIMENTARES,A,287
3664,3603,CRIMES MILITARES,I,287
3692,287,CONTRAVENCOES PENAIS,A,287
4263,1209,ACAO PENAL,A,1209
4264,4263,NULIDADE,A,1209
4271,4263,SUSPENSAO,A,1209
4272,4263,TRANCAMENTO,A,1209
4291,1209,JURISDICAO E COMPETENCIA,A,1209
4305,1209,RECURSO,A,1209
4310,1209,FIANCA,A,1209
4355,1209,PRISAO PREVENTIVA,A,1209
4368,1209,DENUNCIA/QUEIXA,A,1209
4370,4368,RECEBIMENTO,A,1209
4371,4368,REJEICAO,A,1209
4435,1695,APLICABILIDADE,A,864
4437,2135,REVISAO,I,864
4438,1695,ANULACAO,A,864
4442,2581,RESTITUICAO / INDENIZACAO DE DESPESA,I,864
4452,1697,REPRESENTACAO SINDICAL,I,864
4654,10448,PROPRIEDADE INTELECTUAL / INDUSTRIAL,A,899
4656,4654,DIREITO AUTORAL,A,899
4660,4654,PATENTE,A,899
4670,4654,DESENHO INDUSTRIAL,A,899
4680,4654,MARCA,A,899
4701,7947,ATO / NEGOCIO JURIDICO,A,899
4703,4701,"DEFEITO, NULIDADE OU ANULACAO",A,899
4706,4701,EVICCAO OU VICIO REDIBITORIO,A,899
4718,7688,CESSAO DE CREDITO,A,899
4728,9580,CAMBIO,A,899
4794,9580,PARCERIA AGRICOLA E/OU PECUARIA,A,899
4805,9580,PREVIDENCIA PRIVADA,A,899
4813,9580,REPRESENTACAO COMERCIAL,A,899
4829,4862,ATRASO DE VOO,A,1156
4830,4862,CANCELAMENTO DE VOO,A,1156
4831,4862,OVERBOOKING,A,1156
4832,4862,EXTRAVIO DE BAGAGEM,A,1156
4839,9580,SISTEMA FINANCEIRO DA HABITACAO,A,899
4840,4839,EQUIVALENCIA SALARIAL,A,899
4841,4839,QUITACAO,A,899
4842,4839,REAJUSTE DE PRESTACOES,A,899
4843,4839,TRANSFERENCIA DE FINANCIAMENTO (CONTRATO DE GAVETA),A,899
4846,4839,SUSTACAO/ALTERACAO DE LEILAO,A,899
4847,4839,SEGURO,A,899
4854,4839,REVISAO DO SALDO DEVEDOR,A,899
4862,7771,TRANSPORTE AEREO,A,1156
4897,9981,ASSOCIACAO,A,899
4899,4897,ASSEMBLEIA,A,899
4902,4897,ELEICAO,A,899
4904,4897,EXTINCAO,A,899
4905,9981,FUNDACAO DE DIREITO PRIVADO,A,899
4907,4905,ASSEMBLEIA,A,899
4909,4905,ELEICAO,A,899
4910,4905,EXTINCAO,A,899
4933,5724,APURACAO DE HAVERES,A,899
4934,5724,CONSTITUICAO,A,899
4935,5724,DISSOLUCAO,A,899
4939,5724,DESCONSIDERACAO DA PERSONALIDADE JURIDICA,A,899
4940,5724,INGRESSO E EXCLUSAO DOS SOCIOS NA SOCIEDADE,A,899
4942,5724,RESPONSABILIDADE DOS SOCIOS E ADMINISTRADORES,A,899
4943,5724,TRANSFERENCIA DE COTAS,A,899
4949,7681,TITULOS DE CREDITO,A,899
4951,4949,ANULACAO,A,899
4957,4949,REQUISITOS,A,899
4960,7717,CEDULA DE CREDITO BANCARIO,A,899
4961,7717,CEDULA DE CREDITO A EXPORTACAO,A,899
4962,7717,CEDULA DE CREDITO COMERCIAL,A,899
4963,7717,CEDULA DE CREDITO INDUSTRIAL,A,899
