cnpj,dt_abertura,empresa_matriz,cd_cnae_principal,endereco_cep,situacao_cadastral
37726297000187,2020-07-14,True,1340599,04938150,ATIVA
38341329000199,2020-09-03,True,7319002,08737290,ATIVA
37747387000154,2020-07-16,True,1539400,35668000,ATIVA
13848187000120,1989-11-13,True,8423000,01016040,ATIVA
07751384000123,2005-11-29,True,4724500,04427020,ATIVA
14918916002930,1994-02-01,False,1041400,47820000,ATIVA
22643743000112,2015-06-15,True,6821801,09070331,ATIVA
52033727000179,1982-12-03,True,6821802,01304001,ATIVA
36851092000160,2020-04-02,True,4399103,25850000,ATIVA
74367350000127,1994-02-01,True,4120400,02046090,ATIVA
32591619000104,2019-01-29,True,4724500,88750000,ATIVA
32157937000161,2018-11-13,True,6911701,01411010,ATIVA
29942656000105,2018-03-15,True,4399103,36030480,ATIVA
38545678000122,2020-09-18,True,4321500,78450000,ATIVA
43991509000156,2021-10-24,True,4755503,41385140,ATIVA
44540341000125,2021-11-09,True,6911701,78410000,ATIVA
39933574000158,2020-11-27,True,5819100,89464060,ATIVA
43472742000122,2021-09-10,True,5620104,29370970,ATIVA
45548985000122,2022-03-07,True,4744099,12943160,ATIVA
46992805000160,2022-07-01,True,4110700,74093250,ATIVA
37998250000172,2020-08-06,True,5611203,50830170,ATIVA
32664965000418,2020-09-09,False,4763602,25730735,ATIVA
47194650000189,2022-07-18,True,7319003,13400310,ATIVA
47195702000131,2022-07-18,True,7319002,60763015,ATIVA
42993033000120,2021-08-04,True,4930201,07955000,ATIVA
40920740000160,2021-02-08,True,9499500,64500000,ATIVA
41679286000160,2021-04-23,True,4759899,86165000,ATIVA
11540131000188,2009-12-01,True,1813001,21211740,ATIVA
46676743000187,2022-06-06,True,9529199,27525464,ATIVA
02575838000139,1998-05-06,True,9430800,18425970,ATIVA
11139749000130,2009-09-15,True,1359600,99250000,ATIVA
64448053000233,1991-03-27,False,4744001,34000168,ATIVA
09531309000182,2008-04-23,True,1412601,06321260,ATIVA
55931752000168,1986-06-13,True,4633801,14900000,ATIVA
40220243000150,2020-12-30,True,5611203,74543010,ATIVA
07986218000106,2006-04-28,True,1412601,86620000,ATIVA
35728028000124,2019-12-06,True,7319002,44695000,ATIVA
00377400000110,1995-01-05,True,8130300,94190000,ATIVA
22339415000127,2015-04-28,True,4520001,13026515,ATIVA
05390453000357,2007-03-19,False,4110700,72320300,ATIVA
23650663000157,2015-11-12,True,9602501,85660000,ATIVA
34056140000101,2019-06-28,True,3321000,14051030,ATIVA
40371020000193,2021-01-13,True,4772500,69036720,ATIVA
42819637000154,2021-07-22,True,5620104,40450590,ATIVA
22309650000156,2015-04-23,True,5620104,16400635,ATIVA
37907289000137,2020-07-29,True,9602501,97032020,ATIVA
32637867000149,2018-11-14,True,9491000,07161230,ATIVA
34482514000142,2019-08-09,True,9602501,14080560,ATIVA
31927665000179,2018-11-03,True,9602501,57680970,ATIVA
31930577000126,2018-11-04,True,8291100,39640000,ATIVA
60251758000124,1990-03-29,True,9420100,18602091,ATIVA
41358589000181,2021-03-25,True,7319002,78300000,ATIVA
41560056000269,2022-03-16,False,9602502,89650000,ATIVA
30838642000125,2018-07-03,True,4751201,56850000,ATIVA
03745069000132,2000-04-04,True,4763602,83260000,ATIVA
18658668000196,2011-04-19,True,8112500,80620100,ATIVA
20201480000166,2014-05-07,True,5611203,06756010,ATIVA
33632679000190,2019-05-15,True,5812302,31150270,ATIVA
44060255000115,2021-10-28,True,4744001,58051593,ATIVA
31621734000111,2018-09-27,True,6202300,38401574,ATIVA
41292419000141,2021-03-20,True,5229099,06683480,ATIVA
47911591000112,2022-09-12,True,1412602,89266000,ATIVA
35917324000173,2020-01-07,True,4763602,74520070,ATIVA
43263044000117,2021-08-24,True,9001902,42709190,ATIVA
22015778000107,2015-03-10,True,7729202,59215000,ATIVA
37149411000153,2020-05-15,True,4930201,29450000,ATIVA
26574184000197,2016-11-21,True,7319002,02074002,ATIVA
32057955000171,2018-11-20,True,5611201,08310100,ATIVA
31290966000134,2018-08-21,True,4930201,78201038,ATIVA
38594072000187,2020-09-21,True,4923002,82630305,ATIVA
47595052000111,2022-08-16,True,7319002,89226030,ATIVA
44662714000130,2021-12-22,True,4789099,13024180,ATIVA
34665194000166,2019-08-27,True,4520002,59575000,ATIVA
47432847000109,2022-08-05,True,8211300,14010100,ATIVA
15019153002100,2016-11-18,False,9603304,36972000,ATIVA
09598694000266,2019-09-23,False,4744099,32250000,ATIVA
34463235000131,2019-08-07,True,5611204,31110050,ATIVA
41545226000155,2021-04-12,True,9602502,20770240,ATIVA
08390062000169,2006-08-22,True,8112500,18045290,ATIVA
19254447000115,2013-11-14,True,4784900,15040050,ATIVA
39411390000470,2022-06-22,False,151201,14500000,ATIVA
47258103000110,2022-07-22,True,4781400,39442010,ATIVA
25166763000138,2016-07-08,True,4330403,41412210,ATIVA
47233167000166,2022-07-21,True,8211300,93219070,ATIVA
10359733000170,2008-09-19,True,7311400,04829260,ATIVA
00334608000152,1994-12-06,True,4789002,85930000,ATIVA
20365851000145,2014-06-02,True,7420001,96407030,ATIVA
32137278000100,2018-11-29,True,8020001,25255080,ATIVA
38490809000111,2020-09-16,True,8599604,93608210,ATIVA
38490976000162,2020-09-16,True,6462000,89227015,ATIVA
07508986000154,2005-07-13,True,4744001,93819032,ATIVA
32873489000100,2019-02-25,True,4781400,75680001,ATIVA
46033224000109,2022-04-14,True,8219999,57500000,ATIVA
02638584000150,1998-07-20,True,2512800,38702088,ATIVA
22004500000134,2015-03-09,True,1412601,04057000,ATIVA
32158744000125,2018-12-03,True,5612100,26587060,ATIVA
26883030000187,2017-01-17,True,6821801,05206020,ATIVA
36363739000105,2020-02-13,True,5611203,69055410,ATIVA
22850543000130,2015-06-26,True,4744001,82820490,ATIVA
38261854000102,2020-08-28,True,4783102,02055000,ATIVA
26187359000103,2016-09-17,True,2319200,97300818,ATIVA
35341599000101,2019-10-29,True,9602501,84508899,ATIVA
33891682000129,2019-06-11,True,5611203,41830590,ATIVA
23057407000150,2015-08-13,True,5611204,78690000,ATIVA
35185480000197,2019-10-15,True,4930202,95059660,ATIVA
38032104000150,2020-08-10,True,4520001,75143315,ATIVA
18519489000178,2013-07-18,True,7490104,20081000,ATIVA
32449873000172,2019-01-15,True,161099,44830000,ATIVA
38358153000188,2020-09-05,True,4742300,08555600,ATIVA
12361493000174,2010-08-10,True,4759899,38010130,ATIVA
32152238000129,2018-11-30,True,4753900,75806600,ATIVA
10143868000102,2008-06-09,True,4541206,35334971,ATIVA
27104385000193,2017-02-13,True,4743100,89249000,ATIVA
43634873000169,2021-09-23,True,7319002,39401172,ATIVA
29488666000112,2018-01-21,True,4723700,38413150,ATIVA
29498500000187,2018-01-22,True,4781400,79840460,ATIVA
03460974000146,1999-09-27,True,4682600,83750000,ATIVA
38198213000142,2020-08-24,True,4623199,89900000,ATIVA
38199906000150,2020-08-24,True,1411802,28630595,ATIVA
41697285000653,2020-07-03,False,4621400,35555000,ATIVA
43203164000129,2021-08-19,True,4751201,23535650,ATIVA
45330012000112,2022-02-17,True,4930202,13606324,ATIVA
24474305000284,2016-06-08,False,5611201,39403202,ATIVA
41336042000185,2021-03-24,True,8599699,28053100,ATIVA
27330195000194,2017-03-17,True,4930202,40725455,ATIVA
32545532000109,2019-01-24,True,1091102,36940000,ATIVA
10273868000119,2008-06-24,True,4530703,03560080,ATIVA
33540177000130,2019-05-06,True,8599699,04022040,ATIVA
37765706000154,2020-07-17,True,7319002,25882000,ATIVA
42080497000145,2021-05-25,True,3101200,14706205,ATIVA
36183145000112,2020-01-29,True,7319002,02350002,ATIVA
42084701000104,2021-05-25,True,7319002,29907190,ATIVA
25048002000181,2016-06-21,True,4781400,68430000,ATIVA
17093505000140,2012-10-31,True,4712100,75170000,ATIVA
39849171000125,2020-11-19,True,7319002,77021040,ATIVA
34036535000134,2019-05-07,True,9491000,54410310,ATIVA
36281815000133,2020-02-06,True,8130300,89306305,ATIVA
43671062000138,2021-09-27,True,8219999,89041002,ATIVA
32410210000144,2019-01-10,True,4929901,58020830,ATIVA
15450261000180,2012-02-08,True,9492800,17320000,ATIVA
06114162000218,2019-08-21,False,4637199,20930480,ATIVA
35982101000190,2020-01-13,True,4520005,05890220,ATIVA
39248623000113,2020-09-30,True,8291100,37930000,ATIVA
48137062000176,2022-09-29,True,7319002,13070118,ATIVA
34420768000136,2019-08-04,True,4724500,35661456,ATIVA
24554862000124,2016-04-08,True,6209100,06693340,ATIVA
23232896000130,2015-09-08,True,1412602,53270045,ATIVA
35882317000183,2020-01-03,True,4923001,83330240,ATIVA
34500437000106,2019-08-12,True,3313999,95074300,ATIVA
08839710000111,2007-05-17,True,4623106,68625295,ATIVA
47868986000180,2022-09-07,True,3103900,88135098,ATIVA
39824576000109,2020-11-18,True,4399103,37208436,ATIVA
47758876000165,2022-08-29,True,6821801,17055175,ATIVA
35648451000114,2019-11-28,True,5099899,69985000,ATIVA
46538280000197,2022-05-25,True,9602502,13190000,ATIVA
42830215000180,2021-07-22,True,4712100,44230000,ATIVA
42834286000150,2021-07-23,True,8712300,95032270,ATIVA
48091708000121,2022-09-26,True,8599699,22031012,ATIVA
42299068000163,2021-06-11,True,4722902,41260005,ATIVA
46775093000127,2022-06-14,True,8219999,46650000,ATIVA
47484564000100,2022-08-09,True,2512800,18530000,ATIVA
14733831000187,2011-10-06,True,4731800,16203593,ATIVA
43254711000103,2021-08-24,True,5611205,08585020,ATIVA
31341628000184,2018-08-27,True,9602501,02413200,ATIVA
30577465000170,2018-05-14,True,8630502,13465160,ATIVA
11247220000130,2009-10-15,True,6920601,01122000,ATIVA
35770459000159,2019-12-11,True,5611201,13631040,ATIVA
36992027000155,2020-04-23,True,4781400,50020255,ATIVA
19826977000190,2014-03-06,True,4744001,27525662,ATIVA
36125489000175,2020-01-24,True,8599699,74475420,ATIVA
60855806000355,1971-01-13,False,4930202,25230020,ATIVA
13846106000152,2011-06-22,True,4781400,77650000,ATIVA
37125628000123,2020-05-12,True,4712100,63610000,ATIVA
10449405000165,2008-10-10,True,2330301,45700000,ATIVA
21481327000100,2014-11-27,True,5620104,44053194,ATIVA
59762435000116,1993-09-09,True,9491000,16050620,ATIVA
33393822000139,2019-04-17,True,8630599,89259340,ATIVA
16579893000101,2012-07-26,True,9511800,18075000,ATIVA
37563721000110,2020-04-06,True,6470101,04538132,ATIVA
34384125000184,2019-07-31,True,1359600,88360000,ATIVA
36269505000101,2020-02-06,True,5819100,90010240,ATIVA
37583519000150,2020-07-01,True,4322302,78890000,ATIVA
12086949000135,2010-06-16,True,9529102,65715000,ATIVA
79762381000104,1986-12-05,True,2229399,83320160,ATIVA
41386116000198,2021-03-29,True,5819100,21240440,ATIVA
09047780000108,2007-08-28,True,4120400,13207605,ATIVA
14745845000110,2011-12-09,True,9603304,68820000,ATIVA
07412055000158,2005-05-12,True,9491000,26178390,ATIVA
28172453000114,2017-07-13,True,4781400,27310310,ATIVA
31319045000157,2018-08-23,True,7112000,78135603,ATIVA
34290058000139,2019-07-23,True,4789099,84200000,ATIVA
41491608000143,2021-04-07,True,9529104,72210182,ATIVA
41411823000197,2021-03-30,True,5620102,72011904,ATIVA
23771264000144,1990-04-01,True,8112500,35500011,ATIVA
35231327000159,2019-10-18,True,4722901,47600000,ATIVA
32831027000112,2019-02-20,True,5611204,26580250,ATIVA
15766369000187,2012-06-19,True,9492800,65830000,ATIVA
33067841000175,2019-03-19,True,8599604,09910670,ATIVA
41690478000178,2021-04-24,True,7319002,59022150,ATIVA
35056789000187,2019-10-02,True,5620104,50740700,ATIVA
21542916000143,2014-12-09,True,5611203,12244380,ATIVA
23376089000190,2015-09-29,True,5612100,23065006,ATIVA
36862713000101,2020-04-03,True,6821801,91712210,ATIVA
29528266000193,2018-01-25,True,8211300,14021798,ATIVA
67147264000143,1991-10-31,True,8112500,01023902,ATIVA
82106964000183,1990-07-09,True,4743100,89207000,ATIVA
36178841000130,2020-01-29,True,4713002,44088702,ATIVA
19518673000166,2014-01-14,True,4781400,37177000,ATIVA
94955002000188,1992-11-26,True,8112500,90110040,ATIVA
20983203000152,2014-09-05,True,8599603,09080371,ATIVA
30299624000112,2018-04-25,True,3314707,13690000,ATIVA
65139743006638,1993-03-15,False,9420100,36660000,ATIVA
20216589000177,2014-05-09,True,4930202,38414346,ATIVA
36325568000120,2020-02-11,True,5611201,29800000,ATIVA
45497357000165,2022-03-02,True,6201501,45570000,ATIVA
26950263000155,2017-01-25,True,1813099,31250200,ATIVA
45755073000121,2022-03-23,True,5612100,45027104,ATIVA
32283268000174,2018-12-19,True,4399103,89286328,ATIVA
36818068000120,2020-03-31,True,5611203,41705280,ATIVA
02108183000270,2007-08-14,False,4761003,81830285,ATIVA
45906559000113,1975-06-03,True,8800600,18030300,ATIVA
48158915000156,2022-10-03,True,5590603,21531610,ATIVA
14807059000109,2011-12-28,True,7319002,05301000,ATIVA
45598592000123,2022-03-10,True,4712100,69260000,ATIVA
14269597000189,2011-09-12,True,3212400,47520000,ATIVA
42780276000180,2021-07-20,True,5611201,55860000,ATIVA
33300228000156,2019-04-09,True,8630504,01525001,ATIVA
27374471000116,2017-03-23,True,4615000,95707010,ATIVA
11660097000185,2010-03-04,True,1091102,95780000,ATIVA
40936821000159,2021-02-22,True,7319002,88040300,ATIVA
21096072000154,2014-09-23,True,5620104,06397460,ATIVA
39922635000181,2020-11-26,True,4722901,40715400,ATIVA
32530290000171,2019-01-22,True,9602501,44190000,ATIVA
47815883000151,2022-09-02,True,4399103,26021820,ATIVA
11728290000100,2010-03-11,True,4782201,22640102,ATIVA
40196394000110,2020-12-25,True,4789005,83825295,ATIVA
40156827000103,2020-12-18,True,4711302,73340107,ATIVA
46424384000170,2022-05-17,True,8599604,28893123,ATIVA
30964669000164,2018-07-11,True,4781400,72880592,ATIVA
11392950000125,2009-10-19,True,4744099,25520000,ATIVA
12974948000127,2010-11-11,True,8291100,01310300,ATIVA
24724152000103,2016-02-29,True,7020400,90440003,ATIVA
36758166000119,2020-03-24,True,4520002,82810280,ATIVA
81560609000117,1989-10-05,True,4744001,88870000,ATIVA
40679973000113,2021-02-02,True,4729699,87380000,ATIVA
42192148000115,2021-06-03,True,5229099,35502809,ATIVA
27026090000146,2017-02-03,True,8219999,05136350,ATIVA
47282096000191,2022-07-25,True,7319002,59575000,ATIVA
32417477000163,2019-01-11,True,4755502,03935100,ATIVA
12192855000140,2010-07-08,True,9602501,02081030,ATIVA
28845604000239,2020-09-25,False,4759899,40026170,ATIVA
36842501000162,2020-04-01,True,4511102,29041650,ATIVA
16820885000105,2012-09-10,True,4744099,33113165,ATIVA
36847412000109,2020-04-02,True,8230001,68515000,ATIVA
07824822000136,2006-01-11,True,8211300,03324100,ATIVA
10959331000107,2009-06-03,True,4530703,05048000,ATIVA
22127445000170,2015-03-25,True,4923001,58398972,ATIVA
17532650000180,2013-01-15,True,6911701,71676185,ATIVA
34942873000135,2019-09-20,True,8219999,05025001,ATIVA
34837851000105,2019-07-25,True,8411600,38130000,ATIVA
28820072000102,2017-10-09,True,5611204,45821072,ATIVA
45421053000114,2022-02-23,True,8599605,04660000,ATIVA
21619446000179,2015-01-05,True,4724500,62270000,ATIVA
41444330000153,2021-04-04,True,5320201,02841010,ATIVA
39913357000104,2020-11-25,True,8712300,25085008,ATIVA
39898851000139,2020-11-24,True,6202300,88307120,ATIVA
46668013000134,2022-06-05,True,9602501,40155250,ATIVA
12459755000138,2010-08-30,True,4712100,39400220,ATIVA
28832810000123,2017-10-10,True,7319002,22710570,ATIVA
47001743000140,2022-07-02,True,4781400,41720000,ATIVA
20316662000182,2014-05-23,True,8211300,04105001,ATIVA
32914288000104,2019-02-28,True,8610102,38400672,ATIVA
30559657000154,2018-05-25,True,9511800,04618032,ATIVA
01691932000190,1997-02-12,True,4761001,64001400,ATIVA
16178691000158,1987-08-11,True,4781400,44640000,ATIVA
01944627000163,1997-07-02,True,4744001,68810000,ATIVA
46054815000154,2022-04-18,True,4781400,78553030,ATIVA
40132499000105,2020-12-16,True,4752100,56332360,ATIVA
40997309000112,2021-02-25,True,6421200,04538001,ATIVA
40167937000170,2020-12-21,True,4723700,13416050,ATIVA
45625922000122,2022-03-12,True,8599699,06122130,ATIVA
12570019000152,2010-09-23,True,4761003,69018498,ATIVA
09640026000179,2008-06-19,True,4530703,55865000,ATIVA
20780197000136,2014-08-05,True,4731800,61760907,ATIVA
02748905000170,1998-08-19,True,8550302,23595000,ATIVA
06179984000104,2004-03-22,True,4781400,58753970,ATIVA
08579728000121,2007-01-08,True,111302,15385000,ATIVA
36543881000134,2020-03-04,True,9602501,59200000,ATIVA
01748384000198,1997-03-24,True,161003,13397032,ATIVA
47079958000183,2022-07-08,True,8299799,06327160,ATIVA
44071028000195,2021-10-29,True,220904,14780970,ATIVA
30938859000107,2018-07-13,True,3312102,22775053,ATIVA
36560201000190,2020-03-04,True,4723700,82940250,ATIVA
06140170001715,2016-12-19,False,810002,47530000,ATIVA
35509282000131,2019-11-13,True,9603301,05435040,ATIVA
97286199000106,1994-08-17,True,4781400,95735000,ATIVA
17174068000190,2012-11-09,True,8112500,87020230,ATIVA
66363292000135,1991-08-26,True,4120400,30380403,ATIVA
30349451000108,2018-05-02,True,9602501,95555000,ATIVA
41271764000107,2021-03-18,True,8219999,38050600,ATIVA
33123029000110,2019-03-23,True,8599699,46200000,ATIVA
02526475000141,1998-03-01,True,4731800,89680000,ATIVA
43959291000152,2021-10-21,True,8630504,59075040,ATIVA
44031738000191,2021-10-27,True,5611203,11700400,ATIVA
28117792000106,2017-07-05,True,5620104,01331020,ATIVA
36976268000100,2020-04-22,True,4789099,35436000,ATIVA
46599765000190,2022-05-31,True,5611201,86046210,ATIVA
47976779000149,2022-09-16,True,7810800,21020124,ATIVA
17321487000107,2012-10-23,True,8299799,03224000,ATIVA
04198442000145,2000-12-14,True,9430800,48720000,ATIVA
41120575000125,2021-03-06,True,5611201,59115574,ATIVA
43137483000183,2021-08-16,True,8599699,20770110,ATIVA
43149057000160,2021-08-16,True,4929901,65066350,ATIVA
23644452000101,2015-05-09,True,9492800,29800000,ATIVA
40365203000104,2021-01-12,True,1091102,31570430,ATIVA
38635719000171,2020-09-21,True,4755503,15051090,ATIVA
47620634000100,2022-08-18,True,8230001,85950000,ATIVA
24415870000190,2016-03-18,True,9529102,62370000,ATIVA
36254911000192,2020-02-05,True,9602501,16400553,ATIVA
19582573000107,2014-01-23,True,4751201,66015130,ATIVA
30851566000198,2018-07-04,True,4321500,86602532,ATIVA
36877623000194,2020-04-06,True,9700500,89084379,ATIVA
47424677000110,2022-08-04,True,4924800,21330790,ATIVA
48037438000170,2022-09-21,True,4712100,73700000,ATIVA
48086792000195,2022-09-26,True,4541206,84660000,ATIVA
44221920000105,2021-11-12,True,2539001,57820000,ATIVA
44336875000134,2021-11-23,True,8219999,85340000,ATIVA
60634086000136,1989-06-05,True,5223100,18076302,ATIVA
21960811000104,2015-03-02,True,4399103,98180000,ATIVA
03090408000190,1999-03-18,True,8650004,76803870,ATIVA
47551854000120,2022-08-12,True,9492800,57048746,ATIVA
34163390000213,2021-10-13,False,4729601,30640070,ATIVA
47590779000106,2022-08-16,True,8211300,04619000,ATIVA
35812491000150,2019-12-18,True,4763601,81010130,ATIVA
27015272001517,2020-08-04,False,113000,75603000,ATIVA
03039844000134,1999-03-12,True,6203100,06454050,ATIVA
32824232000150,2019-02-19,True,5612100,13167522,ATIVA
26126775000100,2016-09-08,True,4723700,76365000,ATIVA
26188419000102,2016-09-18,True,8130300,36201143,ATIVA
46570603000120,2022-05-27,True,6462000,17501441,ATIVA
13608635000207,2011-08-25,False,6463800,16900209,ATIVA
15309666000101,2012-03-16,True,4330499,06714210,ATIVA
12936140000155,2010-11-22,True,4530703,14780010,ATIVA
35709100000176,2019-12-05,True,9602501,79500000,ATIVA
47237692000150,2022-07-21,True,9511800,50730140,ATIVA
47199537000196,2022-07-19,True,9319199,59056450,ATIVA
40154834000176,2020-12-18,True,8219999,04347010,ATIVA
44721750000128,2022-01-03,True,8712300,78520000,ATIVA
14849830000100,1986-06-05,True,4711302,44850000,ATIVA
44739781000106,2022-01-04,True,4772500,08563340,ATIVA
47111309000112,2022-07-12,True,4520005,79074073,ATIVA
46036365000177,2022-04-14,True,9602502,87709020,ATIVA
04048345000176,2000-09-15,True,7020400,71250125,ATIVA
42528379000157,2021-06-30,True,4752100,75681538,ATIVA
21969252000101,2015-03-03,True,6462000,09840000,ATIVA
42519663000167,2021-06-29,True,3299099,29140830,ATIVA
81448466000156,1989-07-25,True,5611203,03010000,ATIVA
28480163000138,2017-08-23,True,8630503,18800031,ATIVA
37363840000129,2020-06-09,True,1821100,83504310,ATIVA
26314342000170,2016-10-07,True,9313100,59020390,ATIVA
41961021000150,2021-05-16,True,8599699,08475170,ATIVA
13043021009605,2013-04-03,False,9491000,49535000,ATIVA
46127826000117,2022-04-25,True,4399103,16022100,ATIVA
09543440000240,2008-04-16,False,8422100,89900000,ATIVA
46645518000183,2022-06-02,True,4789008,89245000,ATIVA
42327992000106,2021-06-15,True,9329804,60440593,ATIVA
43102077000185,2021-08-12,True,9602501,89824000,ATIVA
24409206000480,2017-05-24,False,113000,16850000,ATIVA
38358182000140,2020-09-05,True,5611201,48914261,ATIVA
20161958000171,2014-04-29,True,1091102,69315086,ATIVA
08313248000114,2006-08-23,True,133499,08900000,ATIVA
07208491000100,2005-01-28,True,4530705,85301040,ATIVA
37362286000165,2020-06-09,True,1412601,89087298,ATIVA
46547830000134,2022-05-26,True,4321500,74970040,ATIVA
41064170000117,2021-03-02,True,4781400,68515000,ATIVA
43560223000116,2021-09-17,True,4782201,82810350,ATIVA
44940113000142,2022-01-20,True,9521500,58085070,ATIVA
